Date,Close
2019-07-01,566.4906616210938
2019-07-02,570.7989501953125
2019-07-03,572.6071166992188
2019-07-04,573.2545776367188
2019-07-05,564.0350341796875
2019-07-08,558.9901733398438
2019-07-09,571.51318359375
2019-07-10,570.9552612304688
2019-07-11,572.16064453125
2019-07-12,571.6919555664062
2019-07-15,569.7274780273438
2019-07-16,577.2726440429688
2019-07-17,572.2945556640625
2019-07-18,563.3653564453125
2019-07-19,557.6284790039062
2019-07-22,571.6919555664062
2019-07-23,568.5890502929688
2019-07-24,562.1376342773438
2019-07-25,549.8153686523438
2019-07-26,541.9129638671875
2019-07-29,540.6405639648438
2019-07-30,527.2244873046875
2019-07-31,520.6838989257812
2019-08-01,526.9342651367188
2019-08-02,531.9386596679688
2019-08-05,513.5240478515625
2019-08-06,506.7644348144531
2019-08-07,498.2756652832031
2019-08-08,517.5662841796875
2019-08-09,521.9453735351562
2019-08-13,572.541015625
2019-08-14,578.6043701171875
2019-08-16,574.0006103515625
2019-08-19,580.5580444335938
2019-08-20,573.079833984375
2019-08-21,570.8341674804688
2019-08-22,559.9650268554688
2019-08-23,573.0349731445312
2019-08-26,568.9702758789062
2019-08-27,572.5858154296875
2019-08-28,567.3983764648438
2019-08-29,557.7192993164062
2019-08-30,560.7734375
2019-09-03,541.8422241210938
2019-09-04,539.4842529296875
2019-09-05,538.3389282226562
2019-09-06,549.0733642578125
2019-09-09,548.9385986328125
2019-09-11,554.4181518554688
2019-09-12,543.6162719726562
2019-09-13,550.4657592773438
2019-09-16,543.7959594726562
2019-09-17,537.8224487304688
2019-09-18,541.52783203125
2019-09-19,529.5582275390625
2019-09-20,563.37841796875
2019-09-23,556.5740356445312
2019-09-24,574.3150634765625
2019-09-25,574.6968383789062
2019-09-26,582.4445190429688
2019-09-27,587.9464111328125
2019-09-30,598.366455078125
2019-10-01,586.0824584960938
2019-10-03,588.8447265625
2019-10-04,587.519775390625
2019-10-07,588.4180908203125
2019-10-09,594.9979248046875
