Date,Close,High,Low,Open,Volume
2019-07-01,2042.267578125,2056.356539601188,2012.2201956097783,2038.1183441280068,2769940
2019-07-02,2053.71240234375,2058.180671859881,2021.2026803928798,2047.1464728684273,1771746
2019-07-03,2040.5347900390625,2059.8218150873445,2035.3825889370628,2053.8031216040044,1656881
2019-07-04,2045.0946044921875,2053.6210509287394,2033.650313599073,2037.2066730793977,984140
2019-07-05,1972.552734375,2051.797629315745,1951.4875229936417,2049.061899143324,4088470
2019-07-08,1983.7686767578125,1995.988402809574,1944.2831568052513,1959.694344823453,2788062
2019-07-09,1945.4227294921875,1982.8564461465767,1919.159684499116,1982.4917713048978,3977224
2019-07-10,1922.488037109375,1940.4071967804766,1888.8386573212147,1896.7722273993602,6343581
2019-07-11,1917.336181640625,1941.456153677785,1902.28966847215,1940.5442437887866,2400346
2019-07-12,1921.940673828125,1933.0202859060807,1908.7179852348295,1916.9251712582543,1560725
2019-07-15,1956.68505859375,1963.8892804973,1913.1870002083338,1937.8085678945229,2900415
2019-07-16,1924.9676513671875,1949.1897039603643,1919.483413044204,1943.2484457771322,2735399
2019-07-17,1935.250732421875,1942.3345407469521,1912.2627211189676,1926.7958644209766,1802969
2019-07-18,1888.360595703125,1934.2910984630091,1882.9221031912648,1934.2910984630091,3072096
2019-07-19,1898.4149169921875,1916.7414596035092,1885.2070865199037,1898.4606636130131,1953177
2019-07-22,1928.5325927734375,1935.4336382808076,1890.9656887819024,1898.4607709308448,1920167
2019-07-23,1930.8631591796875,1946.904600874073,1921.6770153757036,1944.9850282030693,3538588
2019-07-24,1916.5584716796875,1938.4954242975682,1898.0034212928856,1928.6237509886773,2413196
2019-07-25,1944.9847412109375,1951.4745115179446,1912.673575814387,1927.6179891178035,2544464
2019-07-26,1927.7557373046875,1946.7220636710524,1914.9134331342016,1946.7220636710524,1720592
2019-07-29,1946.90478515625,1957.8732628191021,1922.4999669872539,1929.3552655265364,1647090
2019-07-30,1991.829833984375,1997.1770563259442,1938.1757398480263,1946.9048649767785,2851672
2019-07-31,2016.09765625,2021.5818953601624,1962.5805783024803,1985.0660479158503,3000677
2019-08-01,1992.65283203125,2026.883583431743,1980.0390361258235,2010.887884351673,2375236
2019-08-02,2015.732177734375,2020.0281205091296,1979.3533461368868,1986.2086451883883,2500816
2019-08-05,2055.3095703125,2058.645725650052,2006.8654706524035,2010.7956624788224,3039682
2019-08-06,2024.507080078125,2058.372306263023,2021.3536867505104,2040.8685297552438,2885467
2019-08-07,2023.1815185546875,2046.0782620754176,2017.5145159553117,2038.3089231307488,2165362
2019-08-08,2063.9931640625,2084.9245842171053,2028.1626288090395,2037.3030259340596,2073298
2019-08-09,2053.162353515625,2072.9512302877906,2048.683646769675,2065.7304035371453,1744550
2019-08-13,2010.3846435546875,2053.161747635434,2005.6774281974274,2052.0191979706397,1647281
2019-08-14,2014.9095458984375,2027.2035615625375,1981.0900682623799,1993.6125939105073,1945002
2019-08-16,1978.9879150390625,2048.7289822349207,1959.0160535759592,2048.7289822349207,3755507
2019-08-19,1977.0682373046875,1998.091154298681,1972.223781366523,1992.6069150828566,974884
